Study_ID,Study,DOI,Year,Dimensao,Dimensao_Label,Proxy,n_T,m_T,sd_T,n_C,m_C,sd_C,Tipo_Intervencao,Regiao,Tipo_Comunidade,NOS,Tier,lnRR,vi,sigma_conv
6,Sarmiento F.O.,10.3390/geographies3010002,2023,V2,Complexidade e Singularidade Biocultural,Transmissao Intergeracional,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
6,Sarmiento F.O.,10.3390/geographies3010002,2023,V2,Complexidade e Singularidade Biocultural,Complexidade Cultural,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
6,Sarmiento F.O.,10.3390/geographies3010002,2023,V3,Status de Documentação,Seguranca Alimentar,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
6,Sarmiento F.O.,10.3390/geographies3010002,2023,V4,Vulnerabilidade Jurídica e Fundiária,Status de Documentacao,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
6,Sarmiento F.O.,10.3390/geographies3010002,2023,V5,Organização Social e Governança,Governanca/Resiliencia,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
7,Aldasoro Maya E.M.,10.3389/fsufs.2022.1081400,2023,V1,Erosão Intergeracional e Migração,Agrobiodiversity index / species richness,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
7,Aldasoro Maya E.M.,10.3389/fsufs.2022.1081400,2023,V2,Complexidade e Singularidade Biocultural,Intergenerational knowledge transfer indicator,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
7,Aldasoro Maya E.M.,10.3389/fsufs.2022.1081400,2023,V2,Complexidade e Singularidade Biocultural,Cultural complexity / social network indicator,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
7,Aldasoro Maya E.M.,10.3389/fsufs.2022.1081400,2023,V3,Status de Documentação,Food security / dietary diversity indicator,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
7,Aldasoro Maya E.M.,10.3389/fsufs.2022.1081400,2023,V4,Vulnerabilidade Jurídica e Fundiária,Documentation status / knowledge formalization,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
7,Aldasoro Maya E.M.,10.3389/fsufs.2022.1081400,2023,V5,Organização Social e Governança,External pressure / land use change indicator,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
8,Franco-Moraes J.,10.5751/ES-13711-280137,2023,V1,Erosão Intergeracional e Migração,Agrobiodiversidade,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
8,Franco-Moraes J.,10.5751/ES-13711-280137,2023,V2,Complexidade e Singularidade Biocultural,Transmissao Intergeracional,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
8,Franco-Moraes J.,10.5751/ES-13711-280137,2023,V2,Complexidade e Singularidade Biocultural,Complexidade Cultural,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
8,Franco-Moraes J.,10.5751/ES-13711-280137,2023,V3,Status de Documentação,Seguranca Alimentar,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
8,Franco-Moraes J.,10.5751/ES-13711-280137,2023,V4,Vulnerabilidade Jurídica e Fundiária,Status de Documentacao,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
8,Franco-Moraes J.,10.5751/ES-13711-280137,2023,V5,Organização Social e Governança,Governanca/Resiliencia,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
9,Latorre E.C.,10.15451/ec2018-03-07.04-1-34,2018,V1,Erosão Intergeracional e Migração,Agrobiodiversidade,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
9,Latorre E.C.,10.15451/ec2018-03-07.04-1-34,2018,V2,Complexidade e Singularidade Biocultural,Transmissao Intergeracional,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
9,Latorre E.C.,10.15451/ec2018-03-07.04-1-34,2018,V2,Complexidade e Singularidade Biocultural,Complexidade Cultural,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
